Dptr Hour,Length of Flight (Hrs),Day of Week,Passengers Boarded,Passengers Booked 2 DtD,Stock Out Occurred,Cheese Platters Sold
12,5,Friday,143,139,1,19
18,2,Saturday,165,150,1,21
14,5,Monday,125,126,0,17
9,6,Sunday,156,147,1,19
10,1,Saturday,130,129,0,15
18,3,Monday,158,151,0,21
3,3,Tuesday,89,91,0,9
7,5,Monday,105,96,0,12
23,4,Friday,165,157,0,16
14,4,Wednesday,121,121,0,15
8,5,Tuesday,162,151,0,23
16,5,Thursday,144,136,0,19
12,3,Tuesday,156,148,0,21
18,1,Sunday,116,111,0,13
13,3,Monday,108,101,0,13
23,2,Monday,139,127,0,13
18,4,Thursday,134,132,0,19
7,2,Friday,140,137,0,14
16,5,Sunday,138,136,1,18
12,6,Thursday,161,161,1,16
10,5,Friday,148,146,0,20
9,1,Wednesday,163,148,0,22
22,6,Tuesday,164,152,0,18
16,6,Wednesday,115,107,0,16
16,3,Saturday,131,127,0,17
13,6,Tuesday,120,117,0,17
14,6,Wednesday,102,96,0,14
15,1,Sunday,141,143,0,17
19,1,Saturday,165,158,1,16
17,4,Wednesday,165,164,0,21
18,3,Friday,123,123,1,16
17,2,Monday,123,115,0,18
8,4,Wednesday,121,117,0,16
7,6,Thursday,148,134,1,15
2,5,Friday,102,101,0,11
13,4,Monday,152,151,0,20
10,4,Wednesday,108,110,0,16
16,1,Friday,107,107,0,14
5,6,Saturday,122,116,0,13
9,5,Wednesday,108,103,0,15
8,2,Thursday,165,156,0,22
5,2,Saturday,156,154,0,14
17,5,Sunday,138,129,0,17
8,1,Tuesday,161,157,1,16
18,1,Wednesday,148,150,0,20
10,3,Saturday,135,129,0,16
13,2,Sunday,113,107,0,14
15,3,Monday,165,163,0,22
20,4,Thursday,165,161,0,17
7,2,Thursday,159,157,0,15
14,1,Friday,123,121,0,16
7,4,Sunday,132,124,0,12
14,3,Saturday,165,150,1,18
12,3,Friday,131,123,0,19
18,4,Thursday,149,144,0,20
4,3,Monday,152,146,0,15
16,6,Sunday,152,144,0,19
18,3,Monday,154,145,0,20
20,5,Wednesday,165,166,0,16
7,6,Saturday,131,119,0,14
18,5,Monday,118,107,0,16
19,1,Saturday,135,133,0,17
17,3,Friday,164,152,0,23
14,4,Thursday,161,150,1,16
3,3,Wednesday,156,149,0,16
10,5,Tuesday,154,144,0,22
12,5,Tuesday,98,100,0,14
3,2,Saturday,165,159,0,16
5,3,Monday,142,134,0,14
8,4,Sunday,105,99,0,13
13,2,Wednesday,139,135,1,15
21,2,Monday,159,144,0,16
14,3,Sunday,103,102,0,14
8,3,Wednesday,150,139,1,15
18,3,Tuesday,83,84,0,11
11,4,Tuesday,149,148,1,18
13,6,Wednesday,135,123,0,19
13,5,Monday,165,157,0,23
14,1,Thursday,122,110,0,16
12,2,Thursday,134,123,1,16
10,2,Thursday,107,103,0,15
9,3,Tuesday,165,152,0,22
9,3,Wednesday,106,106,0,14
9,5,Saturday,114,109,0,14
5,6,Thursday,132,131,0,14
12,6,Thursday,140,133,0,19
14,2,Monday,156,141,1,19
1,4,Saturday,137,135,0,12
13,3,Monday,135,122,0,18
19,4,Sunday,121,121,1,16
13,1,Wednesday,129,120,0,16
6,1,Tuesday,85,85,0,9
16,5,Monday,128,122,0,18
8,3,Saturday,151,139,0,18
13,2,Friday,142,144,0,19
17,6,Wednesday,165,149,1,23
14,2,Friday,165,155,0,21
15,4,Friday,122,118,1,17
8,6,Saturday,119,117,0,16
8,6,Sunday,162,158,1,19
8,2,Saturday,165,163,1,16
12,4,Sunday,155,150,0,20
10,1,Wednesday,138,133,0,18
19,4,Sunday,124,120,0,15
12,3,Friday,165,162,1,21
20,1,Wednesday,130,123,0,13
12,4,Monday,150,149,0,21
17,5,Saturday,110,99,0,15
15,3,Tuesday,139,131,1,16
20,1,Saturday,165,160,0,14
7,3,Tuesday,165,153,0,18
10,4,Friday,165,166,1,21
10,2,Tuesday,115,108,0,16
8,4,Saturday,159,158,0,19
12,5,Friday,106,100,0,15
5,5,Wednesday,144,130,0,15
11,5,Friday,147,144,0,21
6,4,Sunday,126,123,0,12
13,6,Monday,165,161,1,24
17,6,Saturday,165,151,1,18
15,1,Friday,165,155,1,19
8,5,Monday,117,117,1,15
19,6,Thursday,121,118,1,17
5,1,Wednesday,110,106,0,11
8,3,Saturday,108,98,0,13
12,2,Thursday,165,156,0,22
20,6,Sunday,165,149,0,16
15,2,Saturday,96,97,0,12
21,1,Saturday,120,111,0,11
5,1,Monday,152,147,0,16
15,6,Thursday,165,164,0,23
8,3,Tuesday,129,131,0,17
12,3,Thursday,125,126,0,17
9,3,Monday,107,97,0,15
13,3,Saturday,140,142,0,18
6,3,Sunday,165,158,0,15
1,2,Wednesday,158,155,0,18
20,5,Wednesday,128,125,0,14
16,1,Monday,165,154,1,15
13,3,Friday,134,123,0,17
19,4,Monday,129,118,1,15
11,4,Wednesday,122,116,0,17
13,2,Tuesday,130,131,0,16
19,2,Tuesday,165,150,1,20
8,5,Wednesday,145,137,1,17
12,1,Saturday,148,141,0,19
18,4,Saturday,118,111,0,15
5,2,Tuesday,144,145,0,15
11,2,Monday,150,143,0,19
19,4,Tuesday,131,132,0,17
16,6,Tuesday,152,153,0,21
17,4,Saturday,152,152,0,19
19,5,Sunday,141,135,1,17
13,4,Wednesday,90,83,0,12
18,1,Monday,165,151,0,21
21,5,Thursday,120,122,0,13
16,2,Sunday,165,167,0,20
10,6,Thursday,149,141,0,19
7,6,Tuesday,125,121,0,14
18,6,Wednesday,120,108,0,17
15,3,Monday,109,100,0,15
1,5,Monday,144,136,0,15
19,6,Saturday,165,153,0,20
4,3,Sunday,93,89,0,9
14,3,Sunday,124,121,1,16
14,4,Monday,161,161,0,24
10,2,Tuesday,142,140,0,18
15,6,Thursday,154,144,0,21
19,5,Tuesday,165,151,1,19
14,5,Tuesday,165,166,0,23
10,5,Thursday,146,145,1,15
11,5,Friday,119,121,0,16
10,2,Tuesday,155,143,1,21
8,1,Saturday,98,96,0,13
11,6,Wednesday,141,140,1,20
17,6,Monday,117,117,0,16
9,3,Friday,148,147,0,19
14,6,Sunday,127,119,0,17
9,1,Friday,133,134,0,18
17,6,Wednesday,151,146,0,21
14,3,Monday,164,160,1,15
17,1,Monday,124,124,0,17
16,3,Monday,165,153,0,22
9,3,Friday,154,147,1,15
7,1,Thursday,132,132,0,13
9,3,Friday,135,132,0,18
10,4,Sunday,137,128,0,18
18,5,Monday,138,135,0,18
8,4,Tuesday,161,163,1,21
12,1,Monday,132,129,0,18
9,6,Monday,110,105,0,16
12,5,Sunday,125,124,1,15
17,4,Thursday,165,161,0,21
14,4,Thursday,156,158,1,21
15,5,Thursday,156,154,0,22
18,1,Wednesday,121,110,0,15
13,1,Wednesday,130,118,0,17
3,1,Thursday,113,109,0,11
15,6,Sunday,151,151,1,18
11,5,Monday,93,86,0,13
17,5,Wednesday,136,136,0,18
13,6,Friday,103,95,0,13
13,2,Wednesday,150,137,0,19
8,3,Friday,143,143,1,18
19,1,Wednesday,115,111,0,15
7,2,Wednesday,165,156,1,15
12,3,Saturday,144,143,0,19
19,2,Thursday,125,118,1,16
7,2,Thursday,110,107,0,11
9,1,Friday,165,160,1,20
18,1,Saturday,123,117,0,15
13,5,Wednesday,161,153,0,23
6,4,Friday,128,125,0,14
16,6,Monday,129,125,0,19
18,3,Sunday,151,140,0,19
14,5,Thursday,149,141,1,19
11,3,Thursday,159,157,0,21
7,4,Sunday,159,149,0,15
11,4,Sunday,102,98,0,13
17,4,Monday,165,159,0,23
7,5,Sunday,164,152,0,16
16,2,Wednesday,146,146,0,18
9,5,Wednesday,120,120,0,17
12,3,Monday,164,161,1,21
18,2,Sunday,165,154,0,20
14,1,Thursday,152,150,1,15
19,5,Saturday,165,154,0,22
8,1,Thursday,141,137,0,17
14,1,Tuesday,152,148,1,15
13,6,Sunday,112,105,0,13
12,6,Wednesday,151,150,1,19
12,5,Saturday,140,140,0,18
17,5,Monday,80,74,0,11
15,1,Tuesday,90,83,0,12
11,4,Friday,142,131,0,20
16,3,Tuesday,165,162,1,18
12,4,Sunday,136,131,0,16
19,5,Wednesday,147,134,1,19
11,5,Tuesday,120,112,1,15
17,4,Sunday,157,153,1,18
9,4,Wednesday,165,156,1,21
9,2,Monday,98,92,0,13
14,6,Thursday,124,112,0,17
20,5,Tuesday,154,139,1,15
15,6,Thursday,157,154,0,22
16,4,Wednesday,137,129,0,19
16,3,Sunday,151,137,0,19
18,4,Monday,165,164,0,23
16,6,Wednesday,112,108,0,15
9,2,Saturday,128,116,1,15
7,1,Tuesday,165,149,1,15
11,1,Friday,116,110,0,15
4,4,Wednesday,105,105,0,11
17,6,Thursday,160,160,0,22
7,4,Saturday,136,138,0,14
13,3,Friday,96,97,0,13
16,1,Thursday,121,123,0,16
22,4,Thursday,133,128,0,15
14,3,Thursday,165,162,1,16
23,1,Friday,165,160,0,17
7,6,Friday,151,149,0,16
12,6,Sunday,137,130,1,17
6,2,Sunday,165,152,0,15
14,1,Wednesday,129,127,0,17
20,5,Thursday,94,85,0,10
11,4,Friday,138,136,0,18
15,4,Friday,126,118,0,16
9,4,Sunday,160,160,0,20
12,3,Thursday,144,130,1,19
10,6,Wednesday,161,147,1,20
17,1,Saturday,123,117,0,14
14,4,Monday,151,140,0,19
18,3,Thursday,97,96,0,14
14,2,Thursday,138,130,0,17
14,5,Wednesday,141,127,0,21
10,4,Monday,165,159,0,23
15,6,Friday,128,124,0,18
10,5,Wednesday,115,108,1,15
11,2,Friday,144,140,0,21
11,2,Wednesday,132,134,0,17
11,2,Friday,141,136,1,15
13,4,Friday,165,157,0,23
8,5,Thursday,96,91,0,13
13,1,Friday,135,132,0,18
7,3,Wednesday,165,149,1,16
12,5,Monday,153,146,1,17
8,6,Friday,100,91,0,14
18,6,Thursday,142,132,0,20
17,1,Tuesday,145,131,0,19
12,4,Tuesday,137,128,0,19
16,1,Saturday,165,165,1,19
4,1,Saturday,156,141,0,15
20,6,Monday,165,152,1,18
8,6,Sunday,138,128,0,18
13,4,Monday,110,103,0,16
14,3,Saturday,148,146,0,18
17,3,Friday,165,163,1,20
9,5,Tuesday,161,159,0,23
19,6,Sunday,165,149,1,21
10,6,Saturday,123,119,0,16
18,5,Wednesday,162,157,0,22
7,4,Sunday,128,126,0,13
15,2,Tuesday,123,118,0,16
13,6,Saturday,143,140,0,19
5,6,Sunday,115,108,0,12
13,5,Wednesday,156,149,0,20
11,2,Saturday,139,127,0,18
17,6,Wednesday,159,158,1,17
2,1,Wednesday,131,127,0,13
13,3,Wednesday,163,162,1,21
18,2,Saturday,124,122,0,14
11,2,Sunday,124,119,0,16
9,2,Wednesday,123,115,0,15
19,1,Sunday,117,110,0,14
3,3,Sunday,124,119,0,11
4,2,Sunday,133,135,0,11
16,6,Friday,152,147,1,18
13,1,Saturday,155,147,0,18
15,1,Monday,151,139,0,21
19,6,Tuesday,149,138,0,22
19,4,Wednesday,112,104,0,15
6,5,Sunday,159,146,0,16
9,4,Sunday,123,113,0,16
18,1,Thursday,123,118,0,15
16,5,Friday,122,112,1,16
13,1,Wednesday,125,121,0,17
11,5,Tuesday,110,105,0,14
23,5,Saturday,115,105,0,11
21,5,Wednesday,125,126,0,13
21,1,Friday,157,153,1,17
5,5,Monday,125,120,0,13
18,1,Monday,93,94,0,12
6,4,Monday,117,112,0,12
22,2,Wednesday,158,148,0,16
17,5,Saturday,136,133,0,17
19,5,Sunday,154,147,0,20
12,4,Monday,148,148,0,20
19,4,Tuesday,128,123,1,17
4,1,Friday,155,151,1,15
7,5,Sunday,141,133,0,14
21,4,Monday,119,119,0,13
14,2,Monday,161,157,1,17
16,1,Thursday,102,98,0,13
8,5,Tuesday,165,151,0,23
14,5,Saturday,143,145,1,17
17,5,Tuesday,122,111,1,15
7,5,Tuesday,165,149,0,18
14,1,Friday,122,122,0,16
5,1,Wednesday,150,146,0,15
7,5,Saturday,146,138,0,15
8,6,Thursday,93,88,0,13
18,3,Thursday,134,126,0,17
8,4,Monday,140,128,0,19
15,6,Saturday,160,147,1,17
14,6,Thursday,159,161,1,15
13,4,Saturday,108,99,0,13
6,3,Thursday,85,82,0,9
17,3,Wednesday,140,137,1,15
7,4,Friday,165,149,0,16
20,3,Wednesday,128,121,0,14
16,5,Friday,92,84,0,12
15,5,Monday,147,145,0,20
19,5,Sunday,151,145,0,18
21,5,Friday,164,151,0,18
12,4,Tuesday,130,120,0,17
9,2,Friday,131,132,0,16
20,2,Monday,76,71,0,7
20,4,Monday,121,116,0,12
17,4,Monday,135,134,1,17
12,4,Wednesday,156,148,0,22
9,1,Sunday,134,122,0,15
19,2,Friday,146,134,0,19
15,3,Saturday,165,165,1,19
10,2,Tuesday,160,159,1,17
22,5,Saturday,141,130,0,14
5,2,Monday,165,164,0,18
16,2,Sunday,165,150,1,18
15,5,Tuesday,157,142,1,15
18,2,Saturday,153,139,0,19
15,1,Thursday,105,98,0,14
15,1,Sunday,143,144,1,16
15,3,Sunday,127,125,0,15
6,3,Saturday,150,146,0,15
8,3,Saturday,128,125,0,15
5,1,Tuesday,138,130,0,15
14,1,Monday,148,143,1,17
16,2,Friday,131,118,0,16
18,2,Tuesday,142,142,1,17
17,6,Monday,152,141,1,22
19,2,Wednesday,89,90,0,12
6,4,Wednesday,153,151,0,16
18,3,Friday,132,123,0,18
13,5,Monday,90,88,0,12
3,3,Tuesday,96,95,0,10
10,5,Thursday,128,119,0,17
9,5,Sunday,144,133,1,17
15,2,Thursday,133,131,1,15
16,2,Wednesday,165,156,1,17
5,1,Friday,158,144,0,16
21,5,Monday,153,155,0,18
15,3,Thursday,112,101,0,15
11,2,Wednesday,128,123,0,16
11,1,Tuesday,134,133,0,16
17,1,Wednesday,121,116,1,15
5,3,Wednesday,147,148,0,15
19,6,Sunday,116,114,0,15
17,6,Sunday,156,144,0,20
18,3,Friday,165,153,0,21
14,4,Saturday,155,152,0,20
10,1,Tuesday,158,155,1,18
12,3,Friday,141,132,0,18
11,5,Wednesday,165,149,0,21
14,1,Saturday,151,143,0,19
18,1,Thursday,120,120,0,15
10,1,Wednesday,117,113,0,15
19,4,Saturday,129,118,0,17
10,3,Wednesday,135,131,0,18
18,3,Wednesday,165,158,1,19
22,3,Wednesday,151,149,0,15
14,1,Friday,102,98,0,14
19,5,Tuesday,132,131,1,17
14,3,Saturday,109,111,0,13
6,2,Sunday,124,118,0,11
9,2,Sunday,111,112,0,14
9,6,Sunday,160,155,0,21
18,1,Friday,152,142,0,21
17,5,Monday,165,156,0,22
13,3,Saturday,97,91,0,12
13,5,Saturday,145,133,0,19
10,6,Tuesday,132,129,0,18
7,4,Friday,99,94,0,10
7,3,Tuesday,122,122,0,13
11,1,Saturday,112,111,0,13
21,2,Friday,148,148,0,16
14,4,Monday,145,134,0,20
12,3,Wednesday,116,107,0,15
20,1,Wednesday,145,132,1,15
16,5,Tuesday,147,141,0,20
11,3,Tuesday,153,146,0,20
18,3,Thursday,99,93,0,13
9,4,Tuesday,136,134,0,19
19,4,Sunday,124,114,0,15
18,1,Wednesday,165,156,1,15
11,1,Saturday,126,126,0,16
4,5,Monday,100,94,0,12
19,5,Monday,130,117,1,17
11,1,Saturday,165,160,0,19
19,2,Monday,165,156,1,22
15,2,Monday,130,128,1,15
12,4,Sunday,147,133,0,19
17,1,Sunday,120,119,0,16
9,1,Thursday,141,139,0,19
15,3,Wednesday,120,108,0,17
18,3,Thursday,126,116,0,17
16,2,Monday,128,130,1,15
21,1,Saturday,132,126,0,13
19,5,Wednesday,131,125,0,18
3,5,Sunday,130,130,0,12
18,2,Friday,146,141,0,19
14,6,Thursday,146,143,1,16
21,6,Tuesday,148,147,1,15
17,1,Sunday,165,152,0,19
22,5,Saturday,126,124,0,14
15,4,Thursday,122,115,0,15
8,1,Tuesday,124,118,0,16
14,4,Friday,118,112,0,16
5,6,Monday,134,132,0,15
18,6,Thursday,165,156,0,22
18,4,Friday,163,161,1,20
10,5,Thursday,142,136,1,17
6,6,Tuesday,139,126,0,15
9,6,Wednesday,134,129,0,18
17,4,Sunday,152,145,0,19
19,6,Tuesday,161,153,1,20
14,4,Saturday,122,115,0,16
14,5,Saturday,108,110,0,14
20,1,Thursday,145,136,0,14
22,5,Wednesday,94,94,0,10
11,1,Wednesday,151,141,0,19
21,4,Sunday,144,145,0,13
7,6,Monday,135,129,0,16
14,4,Sunday,159,159,0,19
18,4,Tuesday,121,114,1,16
20,3,Tuesday,150,148,0,15
14,4,Wednesday,128,117,1,17
4,1,Friday,161,151,0,16
12,6,Thursday,165,163,1,17
17,6,Wednesday,165,150,0,24
8,6,Sunday,134,123,0,17
10,6,Saturday,165,152,1,19
20,2,Friday,153,152,0,16
19,6,Tuesday,134,131,0,18
18,1,Friday,106,104,0,13
10,6,Sunday,146,133,0,19
6,4,Saturday,155,140,0,16
20,1,Wednesday,151,138,0,15
19,2,Thursday,143,138,0,19
9,4,Tuesday,116,117,0,15
18,2,Sunday,150,152,0,18
13,4,Wednesday,146,141,1,15
10,1,Monday,152,142,0,19
0,3,Thursday,148,142,0,15
12,1,Sunday,117,111,0,14
17,1,Sunday,143,130,0,18
9,3,Friday,109,101,0,14
8,1,Monday,99,97,0,13
15,2,Wednesday,103,99,0,14
20,4,Sunday,150,143,0,14
18,2,Friday,129,118,0,17
8,1,Wednesday,165,166,0,23
18,5,Thursday,124,123,0,18
19,2,Thursday,112,111,1,15
12,3,Wednesday,135,126,0,18
9,4,Friday,165,153,1,17
17,1,Monday,161,160,0,20
11,4,Friday,148,144,0,20
5,6,Monday,165,157,0,18
7,5,Wednesday,155,143,0,16
16,5,Friday,119,120,1,15
13,6,Saturday,146,133,0,18
10,3,Monday,143,136,0,20
4,3,Friday,165,159,1,17
8,4,Tuesday,165,150,1,23
13,1,Friday,152,145,1,15
9,2,Thursday,136,135,0,19
8,5,Saturday,125,117,0,17
21,1,Monday,123,114,0,13
16,4,Monday,152,150,1,20
2,5,Sunday,150,151,0,15
7,6,Wednesday,110,102,0,11
21,1,Saturday,162,150,0,15
8,5,Monday,127,128,0,17
9,5,Monday,144,135,1,17
7,2,Tuesday,94,88,0,9
12,5,Monday,142,139,1,16
19,2,Tuesday,154,141,1,16
16,3,Monday,124,115,0,17
11,6,Saturday,115,115,0,15
6,2,Saturday,139,141,0,13
15,2,Tuesday,139,138,0,18
11,4,Monday,165,158,0,23
13,2,Thursday,88,87,0,11
6,5,Wednesday,154,142,1,16
18,3,Thursday,161,151,1,16
21,3,Friday,127,115,0,12
9,3,Thursday,165,161,0,23
15,5,Thursday,120,118,0,17
22,5,Wednesday,130,131,0,15
14,3,Tuesday,134,123,0,18
20,2,Sunday,144,135,0,12
15,6,Sunday,108,99,0,14
12,3,Wednesday,158,149,1,18
16,2,Sunday,138,133,0,16
10,2,Thursday,148,138,0,20
9,2,Friday,106,105,0,14
5,5,Thursday,115,114,0,13
10,5,Monday,165,162,1,22
15,5,Friday,117,119,0,17
10,4,Sunday,114,111,0,14
14,5,Monday,133,129,1,15
16,1,Sunday,102,93,0,13
3,2,Sunday,134,133,0,13
9,4,Wednesday,128,124,0,17
11,2,Friday,147,139,1,17
13,2,Monday,165,157,0,21
4,3,Saturday,129,122,0,11
9,1,Thursday,162,164,1,15
16,1,Wednesday,129,130,0,16
8,3,Saturday,80,75,0,10
16,2,Sunday,116,115,0,14
15,2,Wednesday,121,122,0,16
20,6,Thursday,111,107,0,13
18,5,Sunday,149,149,0,20
13,3,Wednesday,116,112,0,16
18,4,Sunday,130,132,0,17
9,3,Thursday,165,151,0,24
5,6,Friday,94,95,0,11
7,6,Thursday,141,133,0,15
23,1,Sunday,157,143,0,14
12,6,Saturday,165,161,1,19
21,3,Monday,138,135,0,15
2,6,Thursday,163,151,1,17
19,6,Wednesday,150,136,1,19
16,4,Thursday,151,146,1,15
5,6,Wednesday,165,165,0,18
7,1,Thursday,164,157,0,16
8,5,Tuesday,111,103,0,15
18,6,Wednesday,151,144,1,18
11,4,Friday,123,118,0,17
18,3,Monday,115,114,0,16
15,6,Monday,152,154,0,21
5,4,Sunday,122,121,0,12
10,5,Tuesday,121,110,1,15
13,5,Friday,143,141,0,18
18,3,Thursday,102,102,0,13
21,5,Friday,161,145,0,17
11,5,Monday,141,128,0,20
10,3,Wednesday,106,97,1,15
16,6,Tuesday,153,150,0,21
12,1,Sunday,165,164,1,16
19,6,Wednesday,158,149,1,20
9,6,Thursday,162,158,1,19
9,3,Wednesday,132,120,0,18
19,1,Thursday,142,129,1,15
10,5,Saturday,107,101,0,14
22,5,Sunday,163,151,0,15
11,5,Thursday,94,96,0,13
5,5,Sunday,146,145,0,14
12,6,Friday,151,148,1,17
10,1,Tuesday,154,147,1,16
19,4,Sunday,141,133,1,15
10,4,Saturday,165,155,0,20
7,4,Wednesday,82,77,0,9
14,1,Thursday,109,108,0,15
4,2,Thursday,148,134,1,15
16,1,Sunday,165,155,0,20
9,4,Friday,104,98,0,14
14,6,Tuesday,143,141,1,15
7,6,Tuesday,119,116,0,13
12,1,Monday,165,165,0,21
16,5,Monday,106,106,0,14
11,1,Friday,154,150,1,18
6,4,Monday,162,150,0,17
9,2,Wednesday,114,114,0,15
8,2,Thursday,106,96,0,15
13,2,Friday,136,132,0,19
15,4,Friday,163,147,0,24
12,6,Thursday,123,120,0,16
14,6,Wednesday,118,116,0,17
13,2,Monday,165,150,1,21
12,2,Sunday,134,129,0,16
14,5,Monday,114,109,0,15
8,3,Wednesday,165,153,1,18
15,2,Thursday,105,100,0,13
8,3,Sunday,143,134,0,18
14,3,Tuesday,143,140,1,15
14,2,Saturday,127,129,0,15
15,1,Tuesday,126,127,1,16
13,5,Monday,92,85,0,12
5,3,Sunday,111,107,0,10
12,3,Wednesday,144,139,0,19
20,2,Monday,90,83,0,10
16,2,Thursday,165,157,0,22
8,5,Tuesday,139,134,0,19
13,3,Saturday,131,129,0,16
9,3,Tuesday,79,76,0,10
21,5,Friday,147,146,1,16
19,5,Thursday,113,104,0,15
20,4,Saturday,97,88,0,10
6,2,Friday,165,149,0,16
23,6,Tuesday,123,115,0,14
15,4,Tuesday,161,146,0,21
8,1,Monday,114,110,0,14
11,4,Monday,127,122,1,15
16,5,Saturday,160,157,1,17
15,1,Wednesday,114,112,1,15
19,6,Monday,129,123,0,18
17,2,Sunday,144,145,0,17
13,6,Tuesday,119,117,0,17
19,6,Tuesday,143,138,1,20
15,5,Wednesday,137,129,1,16
16,5,Sunday,150,151,0,19
8,6,Thursday,138,135,1,17
11,2,Sunday,158,145,0,20
11,6,Saturday,155,154,1,15
16,2,Monday,121,118,0,16
18,1,Saturday,134,129,0,15
8,4,Saturday,151,141,0,17
10,2,Thursday,137,128,1,20
17,6,Tuesday,113,104,0,16
19,2,Saturday,141,138,0,18
9,2,Friday,165,153,0,23
16,2,Monday,124,126,0,16
14,2,Tuesday,161,155,0,21
8,5,Saturday,148,146,0,18
12,5,Saturday,152,142,1,19
7,2,Wednesday,165,164,0,17
17,6,Monday,112,112,0,15
14,6,Monday,74,70,0,11
18,1,Sunday,157,151,0,19
11,2,Sunday,125,118,0,15
13,2,Tuesday,123,113,0,15
17,1,Wednesday,110,107,0,14
12,4,Tuesday,88,87,0,12
5,4,Monday,127,118,0,13
16,6,Sunday,139,126,1,16
6,2,Saturday,147,148,0,13
19,1,Thursday,165,156,0,22
17,1,Thursday,149,141,0,20
9,3,Sunday,140,131,0,17
10,6,Saturday,140,138,1,17
13,6,Wednesday,109,111,1,15
21,4,Sunday,154,141,0,14
17,2,Saturday,73,71,0,9
11,3,Saturday,143,133,0,19
18,3,Thursday,160,157,0,21
7,6,Saturday,164,156,0,16
6,3,Wednesday,131,120,0,14
7,5,Monday,161,148,0,18
21,3,Friday,165,155,0,17
13,4,Wednesday,165,151,0,23
13,4,Wednesday,107,105,0,14
11,5,Monday,152,147,0,22
9,3,Saturday,119,121,0,14
21,2,Monday,165,153,0,16
12,4,Thursday,90,84,0,12
11,1,Wednesday,165,166,0,21
12,1,Monday,130,126,0,16
20,5,Monday,151,145,0,16
15,2,Sunday,165,162,0,21
9,3,Sunday,130,125,0,15
15,5,Saturday,142,131,0,19
5,5,Wednesday,116,114,0,13
13,1,Sunday,89,86,0,11
14,2,Monday,155,152,1,19
19,5,Wednesday,117,112,1,16
8,5,Sunday,161,159,1,22
21,1,Friday,128,118,0,13
15,4,Sunday,165,164,0,21
18,5,Monday,156,153,0,22
11,2,Wednesday,165,161,0,23
14,2,Sunday,139,138,1,18
20,2,Tuesday,139,127,0,14
2,1,Wednesday,109,111,0,10
14,5,Tuesday,165,153,0,23
20,5,Tuesday,147,140,0,16
8,5,Monday,140,138,0,19
8,6,Tuesday,96,95,0,13
18,2,Saturday,165,157,1,19
17,2,Friday,165,165,0,22
8,6,Tuesday,118,111,1,15
6,3,Sunday,151,149,0,14
13,3,Saturday,85,82,0,11
17,3,Friday,136,129,0,19
11,2,Wednesday,140,126,0,18
14,2,Tuesday,165,165,0,22
10,4,Monday,102,96,0,13
1,5,Friday,165,154,0,17
8,3,Tuesday,122,110,0,16
18,3,Thursday,155,146,1,20
11,3,Monday,165,164,0,23
14,4,Saturday,138,131,1,17
9,5,Thursday,165,161,0,23
19,3,Wednesday,131,122,0,19
21,2,Wednesday,151,141,0,16
10,3,Monday,99,100,0,13
15,3,Friday,143,138,0,19
21,2,Saturday,151,138,0,14
4,3,Friday,130,124,0,14
10,5,Friday,122,119,0,17
13,2,Friday,165,157,1,17
20,4,Wednesday,139,137,1,15
8,6,Tuesday,146,134,1,19
10,4,Wednesday,141,131,0,20
20,4,Thursday,114,109,0,11
14,1,Friday,157,145,1,20
11,1,Thursday,157,157,0,21
7,4,Thursday,112,106,0,12
20,1,Tuesday,89,86,0,9
5,5,Monday,85,80,0,8
8,6,Wednesday,142,141,0,20
9,5,Thursday,165,162,0,23
4,5,Saturday,154,155,1,15
6,4,Tuesday,102,101,0,11
8,5,Wednesday,92,90,0,12
11,2,Monday,119,113,0,17
12,5,Monday,160,154,0,23
12,3,Thursday,165,158,1,15
16,1,Thursday,165,167,0,21
18,3,Thursday,105,96,0,14
14,5,Monday,128,121,0,18
20,3,Wednesday,97,94,0,10
21,6,Monday,153,149,0,17
7,2,Thursday,131,126,0,14
15,4,Sunday,144,138,0,19
8,5,Thursday,119,111,0,16
12,5,Sunday,139,139,1,17
13,5,Wednesday,151,147,1,17
10,1,Wednesday,155,141,0,21
12,2,Sunday,126,120,0,14
17,1,Friday,116,111,0,15
11,6,Wednesday,165,163,1,21
18,3,Friday,146,138,1,18
18,6,Friday,142,139,0,20
9,2,Sunday,165,161,0,20
16,1,Saturday,143,144,1,17
10,3,Tuesday,164,151,1,17
16,5,Sunday,165,151,0,23
8,1,Tuesday,163,155,1,15
18,4,Thursday,165,163,1,18
20,5,Thursday,116,109,0,14
7,2,Tuesday,154,155,0,15
17,3,Monday,81,77,0,11
9,1,Friday,143,135,0,19
14,6,Wednesday,165,162,0,25
13,1,Friday,165,156,1,19
15,3,Saturday,152,148,1,17
16,3,Saturday,156,142,0,19
19,6,Saturday,154,139,1,15
11,6,Thursday,134,129,1,15
5,5,Thursday,160,145,0,17
14,1,Wednesday,122,114,0,16
11,3,Saturday,105,100,0,12
11,3,Tuesday,144,142,1,17
20,4,Wednesday,148,141,0,16
11,3,Wednesday,159,144,0,21
6,2,Sunday,165,154,0,15
19,3,Sunday,120,120,0,16
17,4,Saturday,132,125,0,17
12,3,Tuesday,149,146,0,20
16,2,Wednesday,149,136,0,19
13,1,Sunday,161,154,0,20
9,5,Wednesday,141,131,1,16
18,5,Thursday,165,162,1,19
11,4,Saturday,158,154,0,20
12,1,Wednesday,163,156,1,21
11,1,Sunday,165,155,1,16
9,3,Tuesday,160,159,0,21
